The World Map of Happiness - http://www.le.ac.uk/pc/aw57/world/sample.html

This is an interactive map - double click on a country to view in more detail.

Key: Red = High Levels of Happiness

Use of this map is subject to the credit line: Adrian White, Analytic Social Psychologist, University of Leicester.

A high resolution image for downloading in .eps format is available by clicking here: .eps Download .  Please feel free to download this map for publication, but use of the map is subject to the credit line: Adrian White, Analytic Social Psychologist, University of Leicester.

To download a .bmp version click here : .bpm Download

To download a .pdf version click here :  .pdf Download

To download an .fh11 version click here :  .fh11 Download

1.    This is the first map to illustrate international differences in happiness.

2.    UK comes 41st out of 178 countries.

3.     UK doing better than most of our similar neighbours and competitors (France 62nd, Italy 50th, Spain 46th, Japan 90th, Chine 82nd, India 125th).  However other counties did do better (Germany 35th, USA 23rd, Ireland 11th).  A full copy of the league table is published below.

4.     Health is more important than wealth or education.  Further analysis was performed to examine the links between satisfaction with life and measures of life expectancy (health), wealth (GDP per capita) and education (access to secondary level education).It was found that satisfaction with life correlated most closely with health (a correlation of .62), followed by wealth (.52) and then education (.51).  (All pearson's r correlations were significant at the p<.001 level)

5.    The map is based on an analysis of the results from over 100 studies.  It uses data published by by UNESCO, the CIA, the New Economics Foundation, the WHO, the Veenhoven Database, the Latinbarometer, the Afrobarometer, and the UNHDR.

6.    The map is being published in a psychology journal in September, and will be presented at a Psychology conference later in the year. 

 

Quotes

Adrian White said “The concept of happiness, or satisfaction with life, is currently a major area of research in economics and psychology, most closely associated with new developments in positive psychology.  It has also become a feature in the current political discourse in the UK.” 

"There is increasing political interest in using measures of happiness as a national indicator in conjuntion with measures of wealth.  A recent BBC survey found that 81% of the population think the Government should focus on making us happier rather than wealthier."
“It is worth remembering that the UK is doing relatively well in this area, coming 41st out of 178 nations”.
 
"Further analysis showed that a nation's level of happiness was most closely associated with health levels (correlation of .62), followed by wealth (.52), and then provision of education (.51)."
 
"The three predictor variables of health, wealth and education were also very closely associated with each other, illustrating the interdependence of these factors."

“There is a belief that capitalism leads to unhappy people.  However, when people are asked if they are happy with their lives, people in countries with good healthcare, a higher GDP per captia, and access to education were much more likely to report being happy.”
“The frustrations of modern life, and the anxieties of the age, seem to be much less significant compared to the health, financial and educational needs in other parts of the World.  The current concern with happiness levels in the UK may well be a case of the 'worried well'."

 

World Happiness League Table

SWL Ranking is each country's position in the international ranking of happiness
Country 	SWL Ranking (1) 	SWL Index (2) 	Life Expectancy (3) 	GDP per capita (4) 	Access to education score (5)
Libya                          	108 	190 	73.6 	11.4 	NaN
Lithuania                      	155 	156.67 	72.3 	13.7 	93.4
Luxembourg                     	12 	253.33 	78.5 	55.6 	95.3
Macedonia                      	146 	163.33 	73.8 	7.8 	NaN
Madagascar                     	103 	193.33 	55.4 	0.9 	NaN
Malawi                         	158 	153.33 	39.7 	0.6 	NaN
Malaysia                       	17 	246.67 	73.2 	12.1 	98.8
Maldives                       	66 	220 	66.6 	3.9 	42.7
Mali                           	131 	176.67 	47.9 	1.2 	15
Malta                          	14 	250 	78.4 	19.9 	90.4
Mauritania                     	132 	176.67 	52.7 	2.2 	NaN
Mauritius                      	73 	216.67 	72.2 	13.1 	107.3
Mexico                         	51 	230 	75.1 	10 	73.4
Moldova                        	175 	116.67 	67.7 	1.8 	NaN
Mongolia                       	59 	223.33 	64 	1.9 	64.4
Morocco                        	114 	186.67 	69.7 	4.2 	39.3
Mozambique                     	127 	180 	41.9 	1.3 	13.9
Namibia                        	74 	216.67 	48.3 	7 	59.8
Nepal                          	119 	183.33 	61.6 	1.4 	53.9
Netherlands                    	15 	250 	78.4 	30.5 	124.1
New Zealand                    	18 	246.67 	79.1 	25.2 	112.9
Nicaragua                      	85 	210 	69.7 	2.9 	NaN
Niger                          	161 	150 	44.4 	0.9 	NaN
Nigeria                        	120 	183.33 	43.4 	1.4 	NaN
Norway                         	19 	246.67 	79.4 	42.3 	117
Oman                           	30 	243.33 	74.1 	13.2 	67.8
Pakistan                       	166 	143.33 	63 	2.4 	39
Palestine                      	128 	180 	72.5 	5.8 	80.7
Panama                         	39 	240 	74.8 	7.2 	68.7
Papua New Guinea               	86 	210 	55.3 	2.6 	21.2
Paraguay                       	75 	216.67 	71 	4.9 	56.9
Peru                           	115 	186.67 	70 	5.9 	80.8
Philippines                    	78 	213.33 	70.4 	5.1 	75.9
Poland                         	99 	196.67 	74.3 	13.3 	NaN
Portugal                       	92 	203.33 	77.2 	19.3 	112
Qatar                          	45 	233.33 	72.8 	27.4 	92.4
Romania                        	136 	173.33 	71.3 	8.2 	80.2
Russia                         	167 	143.33 	65.3 	11.1 	81.9
Rwanda                         	163 	146.67 	43.9 	1.5 	12.1
Samoa Western                  	52 	230 	70.2 	5.8 	76
Sao Tome And Prinicpe          	60 	223.33 	63 	1.2 	NaN
Saudi Arabia                   	31 	243.33 	71.8 	12.8 	68.5
Senegal                        	116 	186.67 	55.7 	1.8 	19.5
Seychelles                     	20 	246.67 	72.7 	7.8 	NaN
Sierra Leone                   	143 	166.67 	40.8 	0.8 	23.9
Singapore                      	53 	230 	78.7 	28.1 	NaN
Slovakia                       	129 	180 	74 	16.1 	86.6
Slovenia                       	67 	220 	76.4 	21.6 	98.8
Soloman Islands                	54 	230 	62.3 	1.7 	NaN
South Africa                   	109 	190 	48.4 	12 	90.2
South Korea                    	102 	193.33 	77 	20.4 	97.4
Spain                          	46 	233.33 	79.5 	25.5 	112.8
Sri Lanka                      	93 	203.33 	74 	4.3 	NaN
St Kitts And Nevis             	21 	246.67 	70 	8.8 	NaN
St Lucia                       	47 	233.33 	72.4 	5.4 	94.3
St Vincent And The Grenadines  	40 	240 	71.1 	2.9 	NaN
Sudan                          	173 	120 	56.4 	2.1 	28.8
Suriname                       	32 	243.33 	69.1 	4.1 	50.7
Swaziland                      	168 	140 	32.5 	5 	NaN
Sweden                         	7 	256.67 	80.2 	29.8 	152.8
Switzerland                    	2 	273.33 	80.5 	32.3 	99.9
Syria                          	142 	170 	73.3 	3.9 	42
Taiwan                         	68 	220 	76.1 	27.6 	NaN
Tajikistan                     	94 	203.33 	63.6 	1.2 	76
Tanzania                       	121 	183.33 	46 	0.7 	5.31
Thailand                       	76 	216.67 	70 	8.3 	79
Timor-Leste                    	69 	220 	65.5 	0.4 	NaN
Togo                           	147 	163.33 	54.3 	1.7 	NaN
Tonga                          	70 	220 	72.2 	2.3 	NaN
Trinidad And Tobago            	55 	230 	69.9 	16.7 	78.4
Tunisia                        	79 	213.33 	73.3 	8.3 	74.6
Turkey                         	133 	176.67 	68.7 	8.2 	NaN
Turkmenistan                   	171 	133.33 	62.4 	8 	NaN
UAE                            	22 	246.67 	78 	43.4 	74.4
Uganda                         	156 	156.67 	47.3 	1.8 	NaN
Ukraine                        	174 	120 	66.1 	7.2 	92.8
United Kingdom                 	41 	236.67 	78.4 	30.3 	157.2
Uruguay                        	87 	210 	75.4 	9.6 	91.6
USA                            	23 	246.67 	77.4 	41.8 	94.6
Uzbekistan                     	80 	213.33 	66.5 	1.8 	NaN
Vanuate                        	24 	246.67 	68.6 	2.9 	28.5
Venzuela                       	25 	246.67 	72.9 	6.1 	NaN
Vietnam                        	95 	203.33 	70.5 	2.8 	64.6
Yemen                          	91 	206.67 	60.6 	0.9 	NaN
Zambia                         	148 	163.33 	37.5 	0.9 	25.5
Zimbabwe                       	177 	110 	36.9 	2.3 	45.3

Notes

1.    SWL (satisfaction with life) rating calculated from data published by New Economics Foundation (2006).

2.    SWL (satisfaction with life) index calculated from data published by New Economics Foundation (2006).

3.     Life Expectancy from UN Human Development Report (2003)

4.     GDP per capita from figure published by the CIA (2006), figure in US$.

5.    Access to secondary education rating from UNESCO (2002)

 

If you are interested in the environment and personality, and live in the UK, please feel free to participate in our online study on the environment by following this link: NEPS
